Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Nigeria,NGA,2013,Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of women age 15-49),SG.VAW.1549.ZS,11
Nigeria,NGA,2013,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,21.3
Nigeria,NGA,2008,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,27.6
Nigeria,NGA,2003,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,43.5
Nigeria,NGA,2013,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,14.2
Nigeria,NGA,2008,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,16.2
Nigeria,NGA,2003,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,30.7
Nigeria,NGA,2013,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,25.3
Nigeria,NGA,2008,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,32.2
Nigeria,NGA,2003,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,52.8
Nigeria,NGA,2013,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,24.6
Nigeria,NGA,2008,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,30.5
Nigeria,NGA,2003,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,49.4
Nigeria,NGA,2013,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,34.7
Nigeria,NGA,2008,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,43
Nigeria,NGA,2003,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,64.2
Nigeria,NGA,2013,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,18.8
Nigeria,NGA,2008,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,25.3
Nigeria,NGA,2003,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,37.5
Nigeria,NGA,2016,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,4.6
Nigeria,NGA,2010,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,4.1
Nigeria,NGA,2016,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,13.4
Nigeria,NGA,2010,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,11.5
Nigeria,NGA,2016,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,21.9
Nigeria,NGA,2010,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,18.7
Nigeria,NGA,2016,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,49.8
Nigeria,NGA,2015,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,49.6
Nigeria,NGA,2014,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,49.6
Nigeria,NGA,2013,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,49.8
Nigeria,NGA,2012,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,49.9
Nigeria,NGA,2011,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,50.2
Nigeria,NGA,2010,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,50.5
Nigeria,NGA,2009,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,50.8
Nigeria,NGA,2008,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,51.2
Nigeria,NGA,2007,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,51.6
Nigeria,NGA,2006,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,51.9
Nigeria,NGA,2005,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,52.2
Nigeria,NGA,2004,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,52.3
Nigeria,NGA,2003,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,52.5
Nigeria,NGA,2002,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,52.6
Nigeria,NGA,2001,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,52.6
Nigeria,NGA,2000,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,52.7
Nigeria,NGA,1999,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,52.8
Nigeria,NGA,1998,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,52.9
Nigeria,NGA,1997,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,53
Nigeria,NGA,1996,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,53
Nigeria,NGA,1995,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,53.1
Nigeria,NGA,1994,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,53.1
Nigeria,NGA,1993,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,53.2
Nigeria,NGA,1992,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,53.4
Nigeria,NGA,1991,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,53.5
Nigeria,NGA,1990,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,53.7
Nigeria,NGA,2016,Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,68.3
Nigeria,NGA,2015,Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,68.9
Nigeria,NGA,2014,Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,69.5
Nigeria,NGA,2013,Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,70.1
Nigeria,NGA,2012,Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,70.7
Nigeria,NGA,2011,Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,71.4
Nigeria,NGA,2010,Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,72
Nigeria,NGA,2009,Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,72.7
Nigeria,NGA,2008,Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,73.4
Nigeria,NGA,2007,Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,74.1
Nigeria,NGA,2006,Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,74.7
Nigeria,NGA,2005,Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,75.3
Nigeria,NGA,2004,Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,75.9
Nigeria,NGA,2003,Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,76.5
Nigeria,NGA,2002,Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,77
Nigeria,NGA,2001,Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,77.5
Nigeria,NGA,2000,Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,78
Nigeria,NGA,1999,Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,78.4
Nigeria,NGA,1998,Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,78.8
Nigeria,NGA,1997,Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,79
Nigeria,NGA,1996,Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,79.3
Nigeria,NGA,1995,Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,79.5
Nigeria,NGA,1994,Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,79.6
Nigeria,NGA,1993,Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,79.7
Nigeria,NGA,1992,Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,79.7
Nigeria,NGA,1991,Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,79.8
Nigeria,NGA,1990,Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,79.7
Nigeria,NGA,2016,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,48.8
Nigeria,NGA,2015,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,48.6
Nigeria,NGA,2014,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,48.5
Nigeria,NGA,2013,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,48.6
Nigeria,NGA,2012,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,48.8
Nigeria,NGA,2011,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,49
Nigeria,NGA,2010,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,49.3
Nigeria,NGA,2009,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,49.7
Nigeria,NGA,2008,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,50.1
Nigeria,NGA,2007,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,50.5
Nigeria,NGA,2006,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,50.8
Nigeria,NGA,2005,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,51.1
Nigeria,NGA,2004,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,51.2
Nigeria,NGA,2003,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,51.4
Nigeria,NGA,2002,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,51.4
Nigeria,NGA,2001,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,51.5
Nigeria,NGA,2000,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,51.6
Nigeria,NGA,1999,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,51.7
Nigeria,NGA,1998,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,51.8
Nigeria,NGA,1997,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,51.8
Nigeria,NGA,1996,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,51.9
Nigeria,NGA,1995,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,51.9
Nigeria,NGA,1994,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,52
Nigeria,NGA,1993,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,52.1
Nigeria,NGA,1992,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,52.2
Nigeria,NGA,1991,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,52.4
Nigeria,NGA,1990,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,52.7
Nigeria,NGA,2013,"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS,12.3
Nigeria,NGA,2008,"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS,12.1
Nigeria,NGA,2003,"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS,7.8
Nigeria,NGA,1999,"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS,7.2
Nigeria,NGA,2013,"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS,44.7
Nigeria,NGA,2008,"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS,40.3
Nigeria,NGA,2003,"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS,37.8
Nigeria,NGA,1999,"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS,32.2
Nigeria,NGA,2018,Number of deaths ages 5-14 years,SH.DTH.0514,109576
Nigeria,NGA,2015,Number of deaths ages 5-14 years,SH.DTH.0514,110946
Nigeria,NGA,2010,Number of deaths ages 5-14 years,SH.DTH.0514,111237
Nigeria,NGA,2000,Number of deaths ages 5-14 years,SH.DTH.0514,113003
Nigeria,NGA,1990,Number of deaths ages 5-14 years,SH.DTH.0514,111298
